date,msft__target
2021-12-28,305.8416442871094
2021-12-29,309.03619384765625
2021-12-30,295.95697021484375
2021-12-31,301.2003479003906
2022-01-03,293.8693542480469
2022-01-04,294.5295715332031
2022-01-05,292.849853515625
2022-01-06,287.44146728515625
2022-01-07,287.7715148925781
2022-01-10,280.1202087402344
2022-01-11,288.1016845703125
2022-01-12,291.1408996582031
2022-01-13,299.31658935546875
2022-01-14,301.95770263671875
2022-01-18,299.8021545410156
2022-01-19,304.3656921386719
2022-01-20,292.5099792480469
2022-01-21,297.06390380859375
2022-01-24,292.21868896484375
2022-01-25,295.7239685058594
2022-01-26,302.1810607910156
2022-01-27,293.60723876953125
2022-01-28,286.480224609375
2022-01-31,286.44134521484375
2022-02-01,291.75262451171875
2022-02-02,291.41204833984375
2022-02-03,282.87890625
